Date,EndTime,Duration,Energy,Miles,Cost
8/10/2024,1403,5h53m,35.1108,137,13.45
8/9/2024,1913,2h51m,17.5395,68,6.71
8/7/2024,1941,1h37m,11.4924,45,4.4
8/3/2024,1713,1h01m,9.0336,35,3.38
8/1/2024,2019,5h26m,31.8084,124,11.92
7/28/2024,2133,2h55m,19.8298,77,7.51
7/27/2024,2034,5h21m,33.2677,130,12.6
7/24/2024,2030,3h53m,23.8666,93,5.42
7/23/2024,2153,2h02m,15.3534,60,5.17
7/20/2024,2021,4h25m,39.9507,156,15.13
7/16/2024,2100,2h34m,23.5923,92,8.94
7/12/2024,2215,2h53m,26.5203,104,10.05
7/10/2024,2229,1h25m,13.1867,51,5
7/9/2024,2010,1h08m,10.5144,41,3.98
7/6/2024,1551,1h40m,15.1067,59,5.72
7/1/2024,2032,2h21m,21.5562,84,7.97
6/22/2024,2102,2h16m,20.5005,80,7.89
6/20/2024,2014,2h49m,25.7002,100,9.89
6/15/2024,1912,2h10m,19.1017,75,7.35
6/14/2025,2041,2h38m,23.8749,93,9.19
