Date,Time,Home (kW),Powerwall (kW),Solar (kW),Grid (kW),Energy Remaining (%)
8/1/2024,0:00,0.4,0.3,0,0,78
8/1/2024,0:05,0.4,0.4,0,0,78
8/1/2024,0:10,0.4,0.3,0,0,78
8/1/2024,0:15,0.3,0.3,0,0,77
8/1/2024,0:20,0.3,0.3,0,0,77
8/1/2024,0:25,0.3,0.3,0,0,77
8/1/2024,0:30,0.4,0.4,0,0,77
8/1/2024,0:35,0.4,0.4,0,0,77
8/1/2024,0:40,0.4,0.4,0,0,77
8/1/2024,0:45,0.3,0.3,0,0,77
8/1/2024,0:50,0.3,0.3,0,0,77
8/1/2024,0:55,1.2,1.2,0,0,77
8/1/2024,1:00,0.6,0.6,0,0,76
8/1/2024,1:05,0.4,0.4,0,0,76
8/1/2024,1:10,0.4,0.4,0,0,76
8/1/2024,1:15,0.3,0.3,0,0,76
8/1/2024,1:20,0.3,0.3,0,0,76
8/1/2024,1:25,0.3,0.3,0,0,76
8/1/2024,1:30,0.7,0.7,0,0,75
8/1/2024,1:35,0.4,0.4,0,0,75
8/1/2024,1:40,0.3,0.3,0,0,75
8/1/2024,1:45,0.3,0.3,0,0,75
8/1/2024,1:50,0.3,0.3,0,0,75
8/1/2024,1:55,0.5,0.5,0,0,75
8/1/2024,2:00,0.4,0.4,0,0,75
8/1/2024,2:05,0.4,0.4,0,0,75
8/1/2024,2:10,0.4,0.4,0,0,75
8/1/2024,2:15,0.4,0.4,0,0,74
8/1/2024,2:20,0.4,0.4,0,0,74
8/1/2024,2:25,0.4,0.4,0,0,74
8/1/2024,2:30,0.4,0.4,0,0,74
8/1/2024,2:35,0.3,0.3,0,0,74
8/1/2024,2:40,0.3,0.3,0,0,74
8/1/2024,2:45,1.1,1.1,0,0,73
8/1/2024,2:50,0.6,0.6,0,0,73
8/1/2024,2:55,0.4,0.4,0,0,73
8/1/2024,3:00,0.4,0.4,0,0,73
8/1/2024,3:05,0.4,0.4,0,0,73
8/1/2024,3:10,0.4,0.4,0,0,73
8/1/2024,3:15,0.4,0.4,0,0,72
8/1/2024,3:20,0.4,0.4,0,0,72
8/1/2024,3:25,0.3,0.3,0,0,72
8/1/2024,3:30,0.3,0.3,0,0,72
8/1/2024,3:35,0.4,0.4,0,0,72
8/1/2024,3:40,0.4,0.4,0,0,72
8/1/2024,3:45,0.4,0.4,0,0,71
8/1/2024,3:50,0.4,0.4,0,0,71
8/1/2024,3:55,1.1,1.1,0,0,71
8/1/2024,4:00,0.5,0.5,0,0,71
8/1/2024,4:05,0.3,0.3,0,0,71
8/1/2024,4:10,0.3,0.3,0,0,71
8/1/2024,4:15,0.4,0.4,0,0,71
8/1/2024,4:20,0.4,0.4,0,0,71
8/1/2024,4:25,0.4,0.4,0,0,71
8/1/2024,4:30,0.4,0.4,0,0,70
8/1/2024,4:35,0.4,0.4,0,0,70
8/1/2024,4:40,0.4,0.4,0,0,70
8/1/2024,4:45,0.3,0.3,0,0,70
8/1/2024,4:50,0.3,0.3,0,0,70
8/1/2024,4:55,0.4,0.4,0,0,70
8/1/2024,5:00,0.4,0.4,0,0,70
8/1/2024,5:05,0.4,0.4,0,0,70
8/1/2024,5:10,0.4,0.4,0,0,70
8/1/2024,5:15,0.4,0.4,0,0,69
8/1/2024,5:20,0.4,0.4,0,0,69
8/1/2024,5:25,0.3,0.3,0,0,69
8/1/2024,5:30,0.3,0.3,0,0,69
8/1/2024,5:35,0.3,0.3,0,0,69
8/1/2024,5:40,0.4,0.4,0,0,69
8/1/2024,5:45,0.8,0.8,0,0,68
8/1/2024,5:50,0.6,0.6,0,0,68
8/1/2024,5:55,0.4,0.4,0,0,68
8/1/2024,6:00,0.4,0.4,0,0,68
8/1/2024,6:05,0.4,0.4,0,0,68
8/1/2024,6:10,0.6,0.6,0,0,68
8/1/2024,6:15,1.1,1.1,0,0,67
8/1/2024,6:20,0.4,0.4,0,0,67
8/1/2024,6:25,0.3,0.3,0,0,67
8/1/2024,6:30,0.4,0.3,0,0,67
8/1/2024,6:35,0.4,0.3,0,0,67
8/1/2024,6:40,0.4,0.3,0,0,67
8/1/2024,6:45,0.3,0.3,0,0,67
8/1/2024,6:50,0.4,0.2,0.1,0,67
8/1/2024,6:55,0.4,0.3,0.1,0,67
8/1/2024,7:00,0.4,0.3,0.2,0,66
8/1/2024,7:05,0.8,0.5,0.3,0,66
8/1/2024,7:10,0.5,0.1,0.4,0,66
8/1/2024,7:15,0.4,0,0.4,0,66
8/1/2024,7:20,0.4,-0.1,0.5,0,66
8/1/2024,7:25,0.5,-0.2,0.5,0.2,66
8/1/2024,7:30,0.9,0.3,0.6,0.1,66
8/1/2024,7:35,0.9,0,0.9,0,66
8/1/2024,7:40,1.3,0.5,0.7,0,66
8/1/2024,7:45,0.8,0.2,0.7,-0.1,66
8/1/2024,7:50,0.6,0,0.8,-0.2,66
8/1/2024,7:55,0.6,-0.6,1.3,0,66
8/1/2024,8:00,0.7,-0.4,1.1,0,67
8/1/2024,8:05,0.6,-0.5,1.1,0,67
8/1/2024,8:10,0.6,-0.7,1.3,0,67
8/1/2024,8:15,0.6,-0.9,1.6,0,67
8/1/2024,8:20,1.3,-0.2,1.5,0,67
8/1/2024,8:25,1.3,0,1.3,0,67
8/1/2024,8:30,1.6,-0.1,1.5,0.2,67
8/1/2024,8:35,1.8,0.1,1.5,0.2,67
8/1/2024,8:40,1.5,-0.2,1.5,0.2,67
8/1/2024,8:45,0.8,-1.3,2,0,68
8/1/2024,8:50,1.5,-1.5,2.8,0.2,68
8/1/2024,8:55,1.3,-1.6,2.4,0.5,68
8/1/2024,9:00,0.7,-2,2.3,0.4,70
8/1/2024,9:05,1.5,-1.4,2.8,0.2,70
8/1/2024,9:10,1.2,-2.1,3.2,0,70
8/1/2024,9:15,1.1,-2.5,3.5,0.2,72
8/1/2024,9:20,1.1,-2.5,3.3,0.3,72
8/1/2024,9:25,1.4,-2.4,3.4,0.5,72
8/1/2024,9:30,0.7,-3.1,3.7,0,74
8/1/2024,9:35,1,-2.1,3.2,0,74
8/1/2024,9:40,1.3,-2.8,4.1,0,74
8/1/2024,9:45,1.7,-2.3,4,0,75
8/1/2024,9:50,1.5,-2,3.5,0,75
8/1/2024,9:55,1.3,-0.6,2,0,75
8/1/2024,10:00,1.2,-2,3.2,0,77
8/1/2024,10:05,2.6,-1.3,3.9,0,77
8/1/2024,10:10,1.8,-2.4,4.2,0,77
8/1/2024,10:15,0.7,-1.7,2.5,0,79
8/1/2024,10:20,0.8,-3.7,4.5,0,79
8/1/2024,10:25,0.7,-2.8,3.5,0,79
8/1/2024,10:30,1.5,-1.3,2.9,0,81
8/1/2024,10:35,1.3,-1.9,3.2,0,81
8/1/2024,10:40,2.4,-2.7,5.1,0,81
8/1/2024,10:45,1.9,-1.1,3,0,83
8/1/2024,10:50,1.6,-3.6,5.3,0,83
8/1/2024,10:55,1.4,-2.9,4.4,0,83
8/1/2024,11:00,1.5,-2.8,4.3,0,86
8/1/2024,11:05,1.6,-3.6,5.2,0,86
8/1/2024,11:10,1.5,-2.8,4.4,0,86
8/1/2024,11:15,2.3,-0.7,3.1,0,87
8/1/2024,11:20,2.1,-2.5,4.6,0,87
8/1/2024,11:25,2.1,-1.9,4,0,87
8/1/2024,11:30,1.8,-3.8,5.6,0,90
8/1/2024,11:35,1.6,-4,5.6,0,90
8/1/2024,11:40,2.4,-3.1,5.5,0,90
8/1/2024,11:45,2.1,-3.4,5.5,0,93
8/1/2024,11:50,1.9,-2.1,3.9,0,93
8/1/2024,11:55,1.5,-3.8,5.3,0,93
8/1/2024,12:00,1.5,-3.7,5.2,0,95
8/1/2024,12:05,1.9,-2.8,4.6,0,95
8/1/2024,12:10,2.2,-3.4,5.6,0,95
8/1/2024,12:15,2,-3.6,5.6,0,98
8/1/2024,12:20,1.6,-2.9,4.5,0,98
8/1/2024,12:25,1.4,-4.2,5.6,0,98
8/1/2024,12:30,1.4,-4.3,5.7,0,100
8/1/2024,12:35,1.3,-0.9,5.6,-3.4,100
8/1/2024,12:40,1.5,0,5.3,-3.8,100
8/1/2024,12:45,1.6,0,5.6,-4,100
8/1/2024,12:50,2.1,0,5.6,-3.5,100
8/1/2024,12:55,1.8,0,5.6,-3.8,100
8/1/2024,13:00,1.9,0,5.7,-3.8,100
8/1/2024,13:05,3,0,5.6,-2.6,100
8/1/2024,13:10,2.2,0,5.6,-3.4,100
8/1/2024,13:15,1.8,0,5.6,-3.8,100
8/1/2024,13:20,1.3,0,5.6,-4.3,100
8/1/2024,13:25,1.5,0,5.6,-4.1,100
8/1/2024,13:30,2,0,5.4,-3.4,100
8/1/2024,13:35,2,0.2,4,-2.2,100
8/1/2024,13:40,1.6,0,5.7,-4,100
8/1/2024,13:45,1.5,0,5.6,-4.1,100
8/1/2024,13:50,1.5,0,5.5,-4.1,100
8/1/2024,13:55,2.2,0,5.5,-3.4,100
8/1/2024,14:00,2,0,5.5,-3.5,100
8/1/2024,14:05,1.5,0,5.5,-4,100
8/1/2024,14:10,2.1,0,5.5,-3.4,100
8/1/2024,14:15,2.1,0,5.4,-3.3,100
8/1/2024,14:20,1.8,0,5.4,-3.6,100
8/1/2024,14:25,1.4,0,5.4,-4,100
8/1/2024,14:30,1.5,0,5.2,-3.8,100
8/1/2024,14:35,2.3,0,5.2,-2.9,100
8/1/2024,14:40,2,0,5.1,-3.1,100
8/1/2024,14:45,2.3,0,5,-2.7,100
8/1/2024,14:50,2.2,1.2,1.2,-0.1,100
8/1/2024,14:55,6.4,4.8,1.6,0,100
8/1/2024,15:00,11.4,6.4,5,0,92
8/1/2024,15:05,11.3,6.3,5,0,92
8/1/2024,15:10,10.9,6.9,4,0,92
8/1/2024,15:15,11,6.2,4.8,0,86
8/1/2024,15:20,11.5,6.7,4.7,0,86
8/1/2024,15:25,11.6,7.2,4.3,0,86
8/1/2024,15:30,11.6,7.1,4.5,0,80
8/1/2024,15:35,8.4,6.5,1.9,0,80
8/1/2024,15:40,7.7,3.9,3.7,0,80
8/1/2024,15:45,7.7,3.5,4.2,0,77
8/1/2024,15:50,7.2,3.1,4.1,0,77
8/1/2024,15:55,7.4,3.4,4,0,77
8/1/2024,16:00,7.8,3.9,3.9,0,74
8/1/2024,16:05,7.7,3.9,3.8,0,74
8/1/2024,16:10,7.2,3.6,3.7,0,74
8/1/2024,16:15,7.1,3.4,3.7,0,69
8/1/2024,16:20,7.6,5.4,2.2,0,69
8/1/2024,16:25,7.5,7,0.5,0,69
8/1/2024,16:30,7.5,6.9,0.6,0,63
8/1/2024,16:35,7.5,6.8,0.7,0,63
8/1/2024,16:40,7.5,6.7,0.8,0,63
8/1/2024,16:45,6.8,6.2,0.5,0,58
8/1/2024,16:50,6.2,5.7,0.5,0,58
8/1/2024,16:55,6.2,5.6,0.6,0,58
8/1/2024,17:00,6.1,5.1,1.1,0,53
8/1/2024,17:05,6.6,5.5,1.1,0,53
8/1/2024,17:10,6.8,5.5,1.3,0,53
8/1/2024,17:15,8,7.4,0.6,0,47
8/1/2024,17:20,7,6.4,0.5,0,47
8/1/2024,17:25,6.6,6.1,0.5,0,47
8/1/2024,17:30,6,5.6,0.4,0,42
8/1/2024,17:35,5.9,5.8,0.3,-0.2,42
8/1/2024,17:40,6.9,5.7,1.1,0,42
8/1/2024,17:45,6.4,5.6,0.9,0,35
8/1/2024,17:50,6.7,6.5,0.2,0,35
8/1/2024,17:55,9.5,9.1,0.2,0.2,35
8/1/2024,18:00,11.3,10.8,0.2,0.4,26
